Algorithm,TestID,Steps,Time_us
Breadth-First Search,1,8,27957
Breadth-First Search,2,8,13201
Breadth-First Search,3,10,39354
Breadth-First Search,4,0,140
Breadth-First Search,5,8,14740
Breadth-First Search,6,10,53104
Breadth-First Search,7,2,412
Breadth-First Search,8,2,307
Breadth-First Search,9,12,115118
Breadth-First Search,10,8,11827
Breadth-First Search,11,6,3250
Breadth-First Search,12,12,137062
Breadth-First Search,13,12,119321
Breadth-First Search,14,4,1023
Breadth-First Search,15,4,609
Breadth-First Search,16,6,11527
Breadth-First Search,17,6,2639
Breadth-First Search,18,8,18723
Breadth-First Search,19,2,413
Breadth-First Search,20,8,16375
Breadth-First Search,21,6,9889
Breadth-First Search,22,4,1758
Breadth-First Search,23,6,5504
Breadth-First Search,24,2,234
Breadth-First Search,25,4,989
Breadth-First Search,26,2,333
Breadth-First Search,27,0,98
Breadth-First Search,28,10,47611
Breadth-First Search,29,4,1202
Breadth-First Search,30,8,14806
Breadth-First Search,31,8,22554
Breadth-First Search,32,8,16851
Breadth-First Search,33,6,3750
Breadth-First Search,34,6,6856
Breadth-First Search,35,14,267332
Breadth-First Search,36,4,802
Breadth-First Search,37,4,806
Breadth-First Search,38,8,17202
Breadth-First Search,39,4,1179
Breadth-First Search,40,2,380
Breadth-First Search,41,6,9944
Breadth-First Search,42,10,50894
Breadth-First Search,43,4,1038
Breadth-First Search,44,12,117593
Breadth-First Search,45,0,132
Breadth-First Search,46,6,3312
Breadth-First Search,47,2,282
Breadth-First Search,48,4,927
Breadth-First Search,49,4,759
Breadth-First Search,50,8,19784
Breadth-First Search,51,4,751
Breadth-First Search,52,2,440
Breadth-First Search,53,4,1169
Breadth-First Search,54,0,92
Breadth-First Search,55,6,8794
Breadth-First Search,56,6,4637
Breadth-First Search,57,10,50094
Breadth-First Search,58,8,14506
Breadth-First Search,59,6,5194
Breadth-First Search,60,4,1088
Breadth-First Search,61,2,12932
Breadth-First Search,62,2,452
Breadth-First Search,63,8,23174
Breadth-First Search,64,6,4601
Breadth-First Search,65,0,93
Breadth-First Search,66,6,7446
Breadth-First Search,67,2,302
Breadth-First Search,68,8,14713
Breadth-First Search,69,2,173
Breadth-First Search,70,4,693
Breadth-First Search,71,6,6288
Breadth-First Search,72,4,1145
Breadth-First Search,73,6,6672
Breadth-First Search,74,2,432
Breadth-First Search,75,8,13753
Breadth-First Search,76,8,16013
Breadth-First Search,77,8,16092
Breadth-First Search,78,6,4034
Breadth-First Search,79,4,1083
Breadth-First Search,80,6,5124
Breadth-First Search,81,6,6877
Breadth-First Search,82,4,1205
Breadth-First Search,83,8,13360
Breadth-First Search,84,2,409
Breadth-First Search,85,0,168
Breadth-First Search,86,6,6370
Breadth-First Search,87,4,1299
Breadth-First Search,88,8,15052
Breadth-First Search,89,4,1051
Breadth-First Search,90,4,1210
Breadth-First Search,91,4,4618
Breadth-First Search,92,10,51656
Breadth-First Search,93,12,139108
Breadth-First Search,94,6,2702
Breadth-First Search,95,6,3116
Breadth-First Search,96,4,627
Breadth-First Search,97,10,39447
Breadth-First Search,98,10,47190
Breadth-First Search,99,8,16858
Breadth-First Search,100,10,43136
Depth-First Search,1,20,381702
Depth-First Search,2,18,60065
Depth-First Search,3,20,515409
Depth-First Search,4,20,182148
Depth-First Search,5,20,1.58859e+06
Depth-First Search,6,18,197186
Depth-First Search,7,20,218166
Depth-First Search,8,14,202912
Depth-First Search,9,18,1.1854e+06
Depth-First Search,10,20,225054
Depth-First Search,11,20,339146
Depth-First Search,12,14,237460
Depth-First Search,13,20,424757
Depth-First Search,14,16,1.043e+06
Depth-First Search,15,2,230
Depth-First Search,16,20,962912
Depth-First Search,17,14,268588
Depth-First Search,18,18,111432
Depth-First Search,19,18,799849
Depth-First Search,20,16,71720
Depth-First Search,21,18,1.44311e+06
Depth-First Search,22,18,878074
Depth-First Search,23,18,421378
Depth-First Search,24,18,1.02637e+06
Depth-First Search,25,18,888122
Depth-First Search,26,18,1.81741e+06
Depth-First Search,27,18,362850
Depth-First Search,28,18,1.08707e+06
Depth-First Search,29,18,323864
Depth-First Search,30,18,508547
Depth-First Search,31,20,1.81237e+06
Depth-First Search,32,18,988690
Depth-First Search,33,20,379353
Depth-First Search,34,4,696477
Depth-First Search,35,20,665960
Depth-First Search,36,18,1.76208e+06
Depth-First Search,37,18,482140
Depth-First Search,38,20,295986
Depth-First Search,39,20,946534
Depth-First Search,40,14,67576
Depth-First Search,41,20,459923
Depth-First Search,42,20,692631
Depth-First Search,43,0,147
Depth-First Search,44,16,394005
Depth-First Search,45,20,1.04952e+06
Depth-First Search,46,20,859884
Depth-First Search,47,14,1.3098e+06
Depth-First Search,48,18,67678
Depth-First Search,49,0,146
Depth-First Search,50,2,173
Depth-First Search,51,20,279014
Depth-First Search,52,20,1.82994e+06
Depth-First Search,53,18,1.59594e+06
Depth-First Search,54,14,293936
Depth-First Search,55,20,192344
Depth-First Search,56,18,545754
Depth-First Search,57,18,680503
Depth-First Search,58,16,98530
Depth-First Search,59,18,812120
Depth-First Search,60,20,993430
Depth-First Search,61,18,1.35767e+06
Depth-First Search,62,18,557333
Depth-First Search,63,20,760236
Depth-First Search,64,18,1.18559e+06
Depth-First Search,65,20,1.20445e+06
Depth-First Search,66,20,1.14399e+06
Depth-First Search,67,18,1.28012e+06
Depth-First Search,68,14,680480
Depth-First Search,69,18,462318
Depth-First Search,70,20,557693
Depth-First Search,71,20,71845
Depth-First Search,72,12,1.20455e+06
Depth-First Search,73,18,1.78668e+06
Depth-First Search,74,20,468144
Depth-First Search,75,20,420950
Depth-First Search,76,20,56339
Depth-First Search,77,14,252527
Depth-First Search,78,20,281821
Depth-First Search,79,14,1.65208e+06
Depth-First Search,80,20,1.18173e+06
Depth-First Search,81,20,529283
Depth-First Search,82,20,93982
Depth-First Search,83,18,2.22376e+06
Depth-First Search,84,20,185247
Depth-First Search,85,18,95843
Depth-First Search,86,20,1.36548e+06
Depth-First Search,87,2,203
Depth-First Search,88,20,312391
Depth-First Search,89,0,151
Depth-First Search,90,20,1.56094e+06
Depth-First Search,91,20,124212
Depth-First Search,92,20,206625
Depth-First Search,93,18,562949
Depth-First Search,94,20,1.80127e+06
Depth-First Search,95,18,95417
Depth-First Search,96,20,1.56077e+06
Depth-First Search,97,20,205042
Depth-First Search,98,20,1.12814e+06
Depth-First Search,99,18,1.28512e+06
Depth-First Search,100,20,128598
Heuristic Search (Incorrect Num),1,2,334
Heuristic Search (Incorrect Num),2,8,4152
Heuristic Search (Incorrect Num),3,2,374
Heuristic Search (Incorrect Num),4,8,4125
Heuristic Search (Incorrect Num),5,4,565
Heuristic Search (Incorrect Num),6,8,3659
Heuristic Search (Incorrect Num),7,2,392
Heuristic Search (Incorrect Num),8,14,29729
Heuristic Search (Incorrect Num),9,6,889
Heuristic Search (Incorrect Num),10,8,2371
Heuristic Search (Incorrect Num),11,6,2557
Heuristic Search (Incorrect Num),12,6,1549
Heuristic Search (Incorrect Num),13,6,846
Heuristic Search (Incorrect Num),14,10,5379
Heuristic Search (Incorrect Num),15,8,1736
Heuristic Search (Incorrect Num),16,2,310
Heuristic Search (Incorrect Num),17,2,362
Heuristic Search (Incorrect Num),18,8,2190
Heuristic Search (Incorrect Num),19,6,1147
Heuristic Search (Incorrect Num),20,6,1157
Heuristic Search (Incorrect Num),21,6,1862
Heuristic Search (Incorrect Num),22,4,3440
Heuristic Search (Incorrect Num),23,8,1530
Heuristic Search (Incorrect Num),24,0,138
Heuristic Search (Incorrect Num),25,8,1509
Heuristic Search (Incorrect Num),26,12,15445
Heuristic Search (Incorrect Num),27,2,246
Heuristic Search (Incorrect Num),28,2,320
Heuristic Search (Incorrect Num),29,4,652
Heuristic Search (Incorrect Num),30,4,524
Heuristic Search (Incorrect Num),31,6,701
Heuristic Search (Incorrect Num),32,6,847
Heuristic Search (Incorrect Num),33,10,6009
Heuristic Search (Incorrect Num),34,8,1040
Heuristic Search (Incorrect Num),35,4,381
Heuristic Search (Incorrect Num),36,12,18719
Heuristic Search (Incorrect Num),37,2,270
Heuristic Search (Incorrect Num),38,4,483
Heuristic Search (Incorrect Num),39,12,14730
Heuristic Search (Incorrect Num),40,6,707
Heuristic Search (Incorrect Num),41,6,2440
Heuristic Search (Incorrect Num),42,8,2668
Heuristic Search (Incorrect Num),43,4,389
Heuristic Search (Incorrect Num),44,8,1049
Heuristic Search (Incorrect Num),45,2,187
Heuristic Search (Incorrect Num),46,6,2890
Heuristic Search (Incorrect Num),47,10,10724
Heuristic Search (Incorrect Num),48,4,493
Heuristic Search (Incorrect Num),49,4,441
Heuristic Search (Incorrect Num),50,2,216
Heuristic Search (Incorrect Num),51,10,8439
Heuristic Search (Incorrect Num),52,4,411
Heuristic Search (Incorrect Num),53,8,1821
Heuristic Search (Incorrect Num),54,12,11438
Heuristic Search (Incorrect Num),55,4,370
Heuristic Search (Incorrect Num),56,6,2338
Heuristic Search (Incorrect Num),57,0,240
Heuristic Search (Incorrect Num),58,6,1147
Heuristic Search (Incorrect Num),59,6,1549
Heuristic Search (Incorrect Num),60,10,4156
Heuristic Search (Incorrect Num),61,10,4696
Heuristic Search (Incorrect Num),62,12,10564
Heuristic Search (Incorrect Num),63,6,1455
Heuristic Search (Incorrect Num),64,8,1743
Heuristic Search (Incorrect Num),65,6,2438
Heuristic Search (Incorrect Num),66,6,915
Heuristic Search (Incorrect Num),67,4,507
Heuristic Search (Incorrect Num),68,6,1046
Heuristic Search (Incorrect Num),69,8,4251
Heuristic Search (Incorrect Num),70,4,649
Heuristic Search (Incorrect Num),71,6,1402
Heuristic Search (Incorrect Num),72,2,314
Heuristic Search (Incorrect Num),73,10,6124
Heuristic Search (Incorrect Num),74,6,692
Heuristic Search (Incorrect Num),75,6,857
Heuristic Search (Incorrect Num),76,6,585
Heuristic Search (Incorrect Num),77,8,3380
Heuristic Search (Incorrect Num),78,2,530
Heuristic Search (Incorrect Num),79,6,1013
Heuristic Search (Incorrect Num),80,8,1287
Heuristic Search (Incorrect Num),81,4,1049
Heuristic Search (Incorrect Num),82,4,844
Heuristic Search (Incorrect Num),83,12,12310
Heuristic Search (Incorrect Num),84,6,1150
Heuristic Search (Incorrect Num),85,10,6233
Heuristic Search (Incorrect Num),86,12,5178
Heuristic Search (Incorrect Num),87,4,429
Heuristic Search (Incorrect Num),88,6,1188
Heuristic Search (Incorrect Num),89,4,518
Heuristic Search (Incorrect Num),90,4,587
Heuristic Search (Incorrect Num),91,2,256
Heuristic Search (Incorrect Num),92,6,1255
Heuristic Search (Incorrect Num),93,4,679
Heuristic Search (Incorrect Num),94,8,1997
Heuristic Search (Incorrect Num),95,6,1675
Heuristic Search (Incorrect Num),96,8,1797
Heuristic Search (Incorrect Num),97,12,13133
Heuristic Search (Incorrect Num),98,6,909
Heuristic Search (Incorrect Num),99,4,492
Heuristic Search (Incorrect Num),100,4,404
Heuristic Search (Manhattan Distance),1,6,1173
Heuristic Search (Manhattan Distance),2,12,2722
Heuristic Search (Manhattan Distance),3,6,615
Heuristic Search (Manhattan Distance),4,6,440
Heuristic Search (Manhattan Distance),5,4,218
Heuristic Search (Manhattan Distance),6,8,1051
Heuristic Search (Manhattan Distance),7,12,4001
Heuristic Search (Manhattan Distance),8,8,873
Heuristic Search (Manhattan Distance),9,2,149
Heuristic Search (Manhattan Distance),10,8,1612
Heuristic Search (Manhattan Distance),11,8,1373
Heuristic Search (Manhattan Distance),12,10,1403
Heuristic Search (Manhattan Distance),13,12,2457
Heuristic Search (Manhattan Distance),14,4,223
Heuristic Search (Manhattan Distance),15,2,206
Heuristic Search (Manhattan Distance),16,0,179
Heuristic Search (Manhattan Distance),17,4,691
Heuristic Search (Manhattan Distance),18,2,363
Heuristic Search (Manhattan Distance),19,2,364
Heuristic Search (Manhattan Distance),20,4,509
Heuristic Search (Manhattan Distance),21,6,927
Heuristic Search (Manhattan Distance),22,12,9005
Heuristic Search (Manhattan Distance),23,10,977
Heuristic Search (Manhattan Distance),24,16,28464
Heuristic Search (Manhattan Distance),25,4,327
Heuristic Search (Manhattan Distance),26,6,2739
Heuristic Search (Manhattan Distance),27,12,1393
Heuristic Search (Manhattan Distance),28,0,130
Heuristic Search (Manhattan Distance),29,8,1175
Heuristic Search (Manhattan Distance),30,6,579
Heuristic Search (Manhattan Distance),31,8,1354
Heuristic Search (Manhattan Distance),32,10,1566
Heuristic Search (Manhattan Distance),33,4,442
Heuristic Search (Manhattan Distance),34,10,1575
Heuristic Search (Manhattan Distance),35,4,265
Heuristic Search (Manhattan Distance),36,8,1323
Heuristic Search (Manhattan Distance),37,6,864
Heuristic Search (Manhattan Distance),38,14,4439
Heuristic Search (Manhattan Distance),39,6,752
Heuristic Search (Manhattan Distance),40,4,535
Heuristic Search (Manhattan Distance),41,4,851
Heuristic Search (Manhattan Distance),42,2,374
Heuristic Search (Manhattan Distance),43,8,1352
Heuristic Search (Manhattan Distance),44,16,15600
Heuristic Search (Manhattan Distance),45,16,9019
Heuristic Search (Manhattan Distance),46,6,625
Heuristic Search (Manhattan Distance),47,8,1365
Heuristic Search (Manhattan Distance),48,10,2465
Heuristic Search (Manhattan Distance),49,12,3148
Heuristic Search (Manhattan Distance),50,6,965
Heuristic Search (Manhattan Distance),51,6,759
Heuristic Search (Manhattan Distance),52,6,1009
Heuristic Search (Manhattan Distance),53,6,598
Heuristic Search (Manhattan Distance),54,4,249
Heuristic Search (Manhattan Distance),55,8,908
Heuristic Search (Manhattan Distance),56,4,507
Heuristic Search (Manhattan Distance),57,12,3258
Heuristic Search (Manhattan Distance),58,6,1205
Heuristic Search (Manhattan Distance),59,8,1498
Heuristic Search (Manhattan Distance),60,8,1036
Heuristic Search (Manhattan Distance),61,4,369
Heuristic Search (Manhattan Distance),62,0,131
Heuristic Search (Manhattan Distance),63,8,1514
Heuristic Search (Manhattan Distance),64,6,1077
Heuristic Search (Manhattan Distance),65,6,2392
Heuristic Search (Manhattan Distance),66,8,986
Heuristic Search (Manhattan Distance),67,8,1146
Heuristic Search (Manhattan Distance),68,4,293
Heuristic Search (Manhattan Distance),69,2,472
Heuristic Search (Manhattan Distance),70,10,1362
Heuristic Search (Manhattan Distance),71,12,4380
Heuristic Search (Manhattan Distance),72,8,943
Heuristic Search (Manhattan Distance),73,8,1504
Heuristic Search (Manhattan Distance),74,4,457
Heuristic Search (Manhattan Distance),75,12,3025
Heuristic Search (Manhattan Distance),76,2,303
Heuristic Search (Manhattan Distance),77,10,2048
Heuristic Search (Manhattan Distance),78,4,351
Heuristic Search (Manhattan Distance),79,8,1770
Heuristic Search (Manhattan Distance),80,4,415
Heuristic Search (Manhattan Distance),81,4,706
Heuristic Search (Manhattan Distance),82,4,484
Heuristic Search (Manhattan Distance),83,8,1242
Heuristic Search (Manhattan Distance),84,8,1345
Heuristic Search (Manhattan Distance),85,4,748
Heuristic Search (Manhattan Distance),86,6,902
Heuristic Search (Manhattan Distance),87,12,5513
Heuristic Search (Manhattan Distance),88,10,3750
Heuristic Search (Manhattan Distance),89,6,1147
Heuristic Search (Manhattan Distance),90,6,690
Heuristic Search (Manhattan Distance),91,10,2527
Heuristic Search (Manhattan Distance),92,0,127
Heuristic Search (Manhattan Distance),93,6,851
Heuristic Search (Manhattan Distance),94,10,1891
Heuristic Search (Manhattan Distance),95,2,341
Heuristic Search (Manhattan Distance),96,6,682
Heuristic Search (Manhattan Distance),97,8,1365
Heuristic Search (Manhattan Distance),98,8,1260
Heuristic Search (Manhattan Distance),99,4,570
Heuristic Search (Manhattan Distance),100,2,340
