Size,TestID,Success,Time(ms),Memory(KB),SolutionFound
4,1,Yes,0,152,Yes
4,2,Yes,0,156,Yes
4,3,Yes,2,156,Yes
4,4,Yes,0,156,Yes
4,5,Yes,0,156,Yes
4,6,Yes,0,156,Yes
4,7,Yes,1,156,Yes
4,8,Yes,0,156,Yes
4,9,Yes,0,156,Yes
4,10,Yes,0,156,Yes
4,11,Yes,0,156,Yes
4,12,Yes,1,156,Yes
4,13,Yes,0,156,Yes
4,14,Yes,0,156,Yes
4,15,Yes,0,156,Yes
4,16,Yes,0,156,Yes
4,17,Yes,0,156,Yes
4,18,Yes,1,156,Yes
4,19,Yes,0,156,Yes
4,20,Yes,0,156,Yes
4,21,Yes,0,156,Yes
4,22,Yes,0,156,Yes
4,23,Yes,0,156,Yes
4,24,Yes,1,156,Yes
4,25,Yes,0,156,Yes
4,26,Yes,0,156,Yes
4,27,Yes,0,156,Yes
4,28,Yes,0,156,Yes
4,29,Yes,0,156,Yes
4,30,Yes,0,156,Yes
4,31,Yes,0,156,Yes
4,32,Yes,0,156,Yes
4,33,Yes,0,156,Yes
4,34,Yes,0,156,Yes
4,35,Yes,0,156,Yes
4,36,Yes,0,156,Yes
4,37,Yes,0,156,Yes
4,38,Yes,0,156,Yes
4,39,Yes,0,156,Yes
4,40,Yes,0,156,Yes
4,41,Yes,0,156,Yes
4,42,Yes,0,156,Yes
4,43,Yes,1,156,Yes
4,44,Yes,0,156,Yes
4,45,Yes,2,156,Yes
4,46,Yes,2,156,Yes
4,47,Yes,0,156,Yes
4,48,Yes,0,156,Yes
4,49,Yes,1,156,Yes
4,50,Yes,0,156,Yes
8,1,Yes,0,156,Yes
8,2,Yes,3,156,Yes
8,3,Yes,1,156,Yes
8,4,Yes,0,156,Yes
8,5,Yes,0,156,Yes
8,6,Yes,1,156,Yes
8,7,Yes,0,156,Yes
8,8,Yes,1,156,Yes
8,9,Yes,0,156,Yes
8,10,Yes,1,156,Yes
8,11,Yes,0,156,Yes
8,12,Yes,0,156,Yes
8,13,Yes,1,156,Yes
8,14,Yes,2,156,Yes
8,15,Yes,1,156,Yes
8,16,Yes,1,156,Yes
8,17,Yes,0,156,Yes
8,18,Yes,0,156,Yes
8,19,Yes,0,156,Yes
8,20,Yes,0,156,Yes
8,21,Yes,1,156,Yes
8,22,Yes,2,156,Yes
8,23,Yes,1,156,Yes
8,24,Yes,0,156,Yes
8,25,Yes,0,156,Yes
8,26,Yes,1,156,Yes
8,27,Yes,1,156,Yes
8,28,Yes,0,156,Yes
8,29,Yes,0,156,Yes
8,30,Yes,1,156,Yes
8,31,Yes,0,156,Yes
8,32,Yes,0,156,Yes
8,33,Yes,0,156,Yes
8,34,Yes,0,160,Yes
8,35,Yes,1,160,Yes
8,36,Yes,1,160,Yes
8,37,Yes,0,160,Yes
8,38,Yes,0,160,Yes
8,39,Yes,0,160,Yes
8,40,Yes,1,160,Yes
8,41,Yes,0,160,Yes
8,42,Yes,1,160,Yes
8,43,Yes,0,160,Yes
8,44,Yes,1,160,Yes
8,45,Yes,0,160,Yes
8,46,Yes,1,160,Yes
8,47,Yes,0,160,Yes
8,48,Yes,0,160,Yes
8,49,Yes,4,160,Yes
8,50,Yes,1,160,Yes
12,1,Yes,0,160,Yes
12,2,No,6,160,No
12,3,No,3,160,No
12,4,Yes,0,160,Yes
12,5,Yes,0,160,Yes
12,6,Yes,0,160,Yes
12,7,Yes,0,160,Yes
12,8,Yes,4,160,Yes
12,9,Yes,2,160,Yes
12,10,Yes,0,160,Yes
12,11,Yes,0,160,Yes
12,12,Yes,1,160,Yes
12,13,No,9,160,No
12,14,Yes,0,160,Yes
12,15,No,3,160,No
12,16,Yes,1,160,Yes
12,17,Yes,0,160,Yes
12,18,Yes,2,160,Yes
12,19,Yes,0,160,Yes
12,20,Yes,0,160,Yes
12,21,Yes,1,160,Yes
12,22,Yes,0,160,Yes
12,23,Yes,0,160,Yes
12,24,Yes,5,160,Yes
12,25,Yes,2,160,Yes
12,26,Yes,0,160,Yes
12,27,No,3,160,No
12,28,Yes,1,160,Yes
12,29,Yes,0,160,Yes
12,30,Yes,0,160,Yes
12,31,Yes,0,160,Yes
12,32,Yes,0,160,Yes
12,33,No,5,160,No
12,34,Yes,0,164,Yes
12,35,Yes,4,164,Yes
12,36,Yes,0,164,Yes
12,37,Yes,1,164,Yes
12,38,Yes,0,164,Yes
12,39,Yes,1,164,Yes
12,40,Yes,0,164,Yes
12,41,Yes,4,164,Yes
12,42,No,2,164,No
12,43,Yes,1,164,Yes
12,44,Yes,5,164,Yes
12,45,Yes,0,164,Yes
12,46,Yes,0,164,Yes
12,47,Yes,0,164,Yes
12,48,Yes,1,164,Yes
12,49,No,2,164,No
12,50,Yes,1,164,Yes
16,1,Yes,1,164,Yes
16,2,Yes,0,164,Yes
16,3,Yes,2,164,Yes
16,4,Yes,0,164,Yes
16,5,Yes,4,164,Yes
16,6,Yes,1,164,Yes
16,7,Yes,0,164,Yes
16,8,Yes,1,164,Yes
16,9,No,3,164,No
16,10,Yes,3,164,Yes
16,11,Yes,0,164,Yes
16,12,Yes,0,164,Yes
16,13,Yes,3,164,Yes
16,14,Yes,0,164,Yes
16,15,Yes,0,164,Yes
16,16,Yes,1,164,Yes
16,17,Yes,140,164,Yes
16,18,Yes,3,164,Yes
16,19,Yes,5,164,Yes
16,20,Yes,3,164,Yes
16,21,No,5,164,No
16,22,No,3,164,No
16,23,Yes,1,164,Yes
16,24,No,3,164,No
16,25,Yes,1,164,Yes
16,26,Yes,5,164,Yes
16,27,Yes,0,164,Yes
16,28,Yes,1,164,Yes
16,29,Yes,1,164,Yes
16,30,Yes,0,164,Yes
16,31,Yes,3,164,Yes
16,32,Yes,0,164,Yes
16,33,Yes,1,164,Yes
16,34,Yes,4,164,Yes
16,35,Yes,1,164,Yes
16,36,Yes,0,164,Yes
16,37,Yes,1,164,Yes
16,38,Yes,1,164,Yes
16,39,Yes,174,164,Yes
16,40,Yes,15,164,Yes
16,41,Yes,4,164,Yes
16,42,Yes,5,164,Yes
16,43,No,6,164,No
16,44,Yes,1,164,Yes
16,45,Yes,1,164,Yes
16,46,No,4,164,No
16,47,Yes,2,164,Yes
16,48,Yes,5,164,Yes
16,49,Yes,2,164,Yes
16,50,Yes,0,164,Yes
